Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
HDFCBANK,EQ,2017-05-15,1551.65,1550.0,1557.2,1542.25,1553,1553.4,1550.73,701195,1087367600.0,15104,309282,44.11,5,2017,1553.4,0.0,Slight or No change
HDFCBANK,EQ,2017-05-16,1553.4,1555.0,1562.0,1548.25,1561.85,1559.65,1555.11,897594,1395856787.0,21073,347734,38.74,5,2017,1556.9088823478273,0.004023432470709354,Slight or No change
HDFCBANK,EQ,2017-05-17,1559.65,1558.8,1565.4,1551.5,1557.5,1557.15,1557.51,868118,1352102517.0,32732,367931,42.38,5,2017,1556.9937329619643,-0.001602923732888839,Slight or No change
HDFCBANK,EQ,2017-05-18,1557.15,1549.0,1561.5,1548.1,1557.5,1557.1,1556.99,776820,1209499656.0,13648,518101,66.7,5,2017,1557.019182193816,-3.2109944449909555e-05,Slight or No change
HDFCBANK,EQ,2017-05-19,1557.1,1559.5,1569.9,1545.25,1568.05,1561.25,1556.93,713534,1110925609.0,18458,296680,41.58,5,2017,1557.7820412401406,0.0026652109691092107,Slight or No change
HDFCBANK,EQ,2017-05-22,1561.25,1565.1,1580.0,1563.1,1579,1576.0,1572.46,715013,1124331912.0,24974,413491,57.83,5,2017,1560.5699936048272,0.009447558046437043,Slight or No change
HDFCBANK,EQ,2017-05-23,1576.0,1580.0,1583.55,1565.0,1569,1569.1,1575.09,770043,1212889748.0,17873,489628,63.58,5,2017,1561.7769192055516,-0.004378172588832552,Slight or No change
HDFCBANK,EQ,2017-05-24,1569.1,1569.05,1575.45,1562.0,1567,1566.75,1566.76,866847,1358143700.0,34901,615909,71.05,5,2017,1562.4601951779982,-0.0014976738257599376,Slight or No change
HDFCBANK,EQ,2017-05-25,1566.75,1567.1,1629.4,1567.1,1613.25,1617.15,1605.26,5022701,8062757340.0,60075,3585041,71.38,5,2017,1586.7007361100755,0.03216850167544294,Slight or No change
HDFCBANK,EQ,2017-05-26,1617.15,1606.65,1632.0,1601.1,1623,1626.0,1617.56,1360789,2201159155.0,31085,754482,55.44,5,2017,1590.914039806017,0.005472590668769151,Slight or No change
HDFCBANK,EQ,2017-05-29,1626.0,1619.8,1648.0,1617.65,1626.65,1631.9,1634.94,1479085,2418209871.0,48257,924191,62.48,5,2017,1595.1916883665442,0.003628536285362971,Slight or No change
HDFCBANK,EQ,2017-05-30,1631.9,1630.0,1633.5,1616.15,1631.4,1629.05,1622.75,1108546,1798890005.0,26377,592343,53.43,5,2017,1597.6480231749604,-0.0017464305410871406,Slight or No change
