Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFCBANK,EQ,11-Jul-17,1676.35,1677.55,1690.8,1667.1,1676.15,1680.4,1681.6,1102570,1854082215,46609,683669,62.01
HDFCBANK,IL,11-Jul-17,1653.35,1700,1732,1700,-,1726.25,1725.18,1409409,2431490800,81,1409409,100
HDFCBANK,EQ,12-Jul-17,1680.4,1680,1685,1658.55,1680.55,1681.25,1675.45,1434723,2403800090,39173,807682,56.3
HDFCBANK,IL,12-Jul-17,1726.25,1705,1705,1700,-,1700,1700.21,208956,355269980,15,208956,100
HDFCBANK,EQ,13-Jul-17,1681.25,1688,1693.3,1679.65,1681.05,1683.55,1687.47,1120251,1890389586,38013,794284,70.9
HDFCBANK,IL,13-Jul-17,1700,1721,1721,1711,-,1711,1719.08,885000,1521385000,30,235000,26.55
HDFCBANK,EQ,14-Jul-17,1683.55,1683.9,1686.05,1672,1682,1679.95,1677.65,610813,1024730172,19545,245408,40.18
HDFCBANK,IL,14-Jul-17,1711,1711,1715,1711,-,1712.5,1712.9,252790,433002875,28,0,0
HDFCBANK,EQ,17-Jul-17,1679.95,1682.55,1687.65,1677,1685,1682.35,1681.96,599835,1008899560,15125,382911,63.84
HDFCBANK,EQ,18-Jul-17,1682.35,1679.7,1687.85,1677.35,1685,1683.55,1683.26,580547,977209674.7,20192,275144,47.39
HDFCBANK,EQ,19-Jul-17,1683.55,1685,1696.2,1681.85,1691.4,1692.3,1691.79,996811,1686392426,23454,496495,49.81
HDFCBANK,EQ,20-Jul-17,1692.3,1693.9,1715,1688.15,1712,1710.9,1701.51,924619,1573246423,29260,475755,51.45
HDFCBANK,EQ,21-Jul-17,1710.9,1714.1,1715.25,1700,1703.25,1703.05,1708.42,968377,1654392958,21353,438841,45.32
HDFCBANK,IL,21-Jul-17,1712.5,1751,1751,1743.5,-,1743.5,1751,118728,207892713,4,118728,100
HDFCBANK,EQ,24-Jul-17,1703.05,1710,1740,1695,1736.2,1735.1,1722.12,4919544,8472024384,120635,1776089,36.1
HDFCBANK,IL,24-Jul-17,1743.5,1755,1755,1755,-,1755,1755,125000,219375000,13,125000,100
HDFCBANK,EQ,25-Jul-17,1735.1,1759,1759,1733.05,1735.85,1739.65,1746.35,2790117,4872510633,58567,1401306,50.22
HDFCBANK,IL,25-Jul-17,1755,1791.5,1791.5,1791.5,-,1791.5,1791.5,21816,39083364,4,21816,100
HDFCBANK,EQ,26-Jul-17,1739.65,1742,1755,1732.5,1751.25,1747.55,1743.52,973836,1697904582,30206,460853,47.32
